,title,date,time,author,counts,sometext
0, Поезд «четырёх столиц» из Киева в Ригу через Минск и Вильнюс запустят 28 сентября, 18.07.2018 в 09:55 , Обновлено: 18.07.2018 в 10:46 ,Вадим Карпусь,   43  ," В скором времени из Киева будет запущен поезд «четырёх столиц». Он свяжет Киев и Ригу, а кроме того, будет проходить через Минск и Вильнюс. Запуск поезда запланирован на 28 сентября. Об этом…"
1, На Кубе впервые появился мобильный интернет, 18.07.2018 в 09:17 , Обновлено: 18.07.2018 в 09:34 ,Владимир Скрипин,   132  ," Хотя в это и трудно поверить, но мобильный интернет на Кубе появился только недавно. Как сообщает агентство Reuters, услуги мобильного интернета предоставляет подконтрольный государству…"
2," Вокруг Юпитера нашли еще 12 спутников, один из них вращается по наклонной к остальным орбите", 18.07.2018 в 08:36 , Обновлено: 18.07.2018 в 08:36 ,Игорь Мозуль,   8  ," Группа астрономов из Института Карнеги обнаружила 12 новых спутников Юпитера, в результате чего их общее количество теперь составляет 79. Последняя находка учёных даёт представление о том,…"
3, Deaf World – украинский видеожурнал для глухих и слабослышащих, 18.07.2018 в 08:03 , Обновлено: 18.07.2018 в 12:04 ,Владимир Скрипин,   8  ," Как стало известно, в Украине появился видеожурнал для глухих и слабослышащих. Проект Deaf World недавно стартовал как канал популярного сервиса видеостриминга YouTube. Номинально канал был создан…"
4, Samsung анонсировал новую 10 нм ОЗУ для смартфонов LPDDR5 (8 ГБ) со скоростью 6400 Мбит/с и на 30% меньшим энергопотреблением, 17.07.2018 в 20:03 , Обновлено: 17.07.2018 в 19:18 ,Сергей Кулеш,   24  ," Компания Samsung Electronics анонсировала скорый выход первых в индустрии модулей оперативной памяти LPDDR5 DRAM, выполненных по 10 нм техпроцессу. Новые ОЗУ планируется использовать в смартфонах с…"
5, QA Consultants: У AMD самые стабильные графические драйверы в отрасли, 17.07.2018 в 19:31 , Обновлено: 17.07.2018 в 19:06 ,Вадим Карпусь,   158  ," Компания QA Consultants, являющаяся независимым сторонним экспертом в сфере обеспечения качества и тестирования программного обеспечения, провела сравнительный тест графических драйверов AMD и…"
6," Процессоры Intel Coffee Lake Refresh ожидаются 1 августа, включая 8-ядерный Core i9-9900K и 6-ядерный чип с припоем под крышкой для достижения частоты 5,5 ГГц", 17.07.2018 в 19:05 , Обновлено: 17.07.2018 в 19:05 ,Вадим Карпусь,   42  ," Новая порция слухов раскрывает подробности о грядущих процессорах Intel Core 9-го поколения, также известных под кодовым названием Coffee Lake Refresh. Согласно имеющейся информации, новые чипы будут…"
7, Valve перестала добавлять в магазин Steam игры с контентом для взрослых до момента запуска новых инструментов модерации, 17.07.2018 в 18:37 , Обновлено: 17.07.2018 в 18:39 ,Сергей Кулеш,   90  ," Недавно сервис Steam заявил, что отказывается от последних изменений в политике проверки контента, которую многие инди-разработчиков игр для взрослых расценили как излишне ярую цензуру.…"
8, Обзор смартфона Meizu 15 Lite, 17.07.2018 в 18:00 , Обновлено: 17.07.2018 в 16:26 ,Виталий Богданов,   135  ," К своему 15-летнему юбилею компания Meizu приурочила выпуск трех смартфонов, в том числе и относительно бюджетного. С ним мы сегодня познакомимся. Meizu 15 Lite — это попытка дать пользователям…"
9, Adidas планирует полностью перейти на использование переработанного пластика к 2024 году, 17.07.2018 в 17:52 , Обновлено: 17.07.2018 в 20:24 ,Вадим Карпусь,   29  , Компания Adidas намерена расширить сферу применения переработанного пластика. Ранее он использовался лишь в обуви флагманской линейки. Теперь же Adidas планирует полностью перейти на…
10," Apple отметила Международный день эмодзи, представив более 70 новых смайлов и заменив фото руководителей на сайте на Memoji", 17.07.2018 в 17:12 , Обновлено: 17.07.2018 в 17:21 ,Владимир Скрипин,   38  ," Ежегодно 17 июля отмечается неофициальный праздник Всемирный день эмодзи (впервые его отметили в 2014 году). Компания Apple решила, как и в прошлом году, порадовать пользователей новыми…"
11, Электромобиль Tesla Model 3 самостоятельно проехал 1000 км от одного заряда без водителя за рулем в режиме «сверхкилометража» [видео], 17.07.2018 в 17:01 , Обновлено: 17.07.2018 в 17:06 ,Сергей Кулеш,   112  ," То, что не удалось сделать два месяца назад человеку, сделал автопилот — речь идет о рекорде «сверхкилометража» на полном заряде батареи электромобиля Tesla Model 3. В конце мая американцы…"
12, Сервис электронных услуг iGov переходит на баланс государства, 17.07.2018 в 16:42 , Обновлено: 17.07.2018 в 16:42 ,Вадим Карпусь,   24  ," Проект iGov, который длительное время занимался переводом государственных услуг в электронную форму на волонтёрских началах, теперь переходит на баланс государства. Об этом в социальной сети…"
13, Американский оператор Verizon больше не активирует в своей сети 3G-смартфоны и полностью отключит сеть 3G CDMA к концу 2019 года, 17.07.2018 в 16:19 , Обновлено: 17.07.2018 в 15:51 ,Сергей Кулеш,   78  ," Компания Verizon, которая являетя одним из крупнейших мобильных операторов США, заявила о том, что больше не будет активировать в своей сети смартфоны, которые не поддерживают технологию 4G LTE.…"
14, Rugrats возвращаются! После 14-летнего перерыва Viacom анонсировала 26 новых серий популярного детского мультсериала из 90-х (и полнометражный фильм), 17.07.2018 в 15:56 , Обновлено: 17.07.2018 в 15:55 ,Владимир Скрипин,   83  ," Американский медиаконгломерат Viacom решил вернуть один из самых популярных детских мультсериалов из 90-х, причем не только на малые, но и на большие экраны. Речь о мультсериале Rugrats / Ох уж эти…"
15, 4G-сеть от Vodafone Украина доступна уже почти 12 миллионам украинцев в 15 областях страны, 17.07.2018 в 15:39 , Обновлено: 17.07.2018 в 15:46 ,Сергей Кулеш,   49  ," Стартовавший 1 июля 2018 года запуск в Украине 4G-сетей в диапазоне 1,8 ГГц позволил Vodafone существенно увеличить площадь покрытия скоростного интернета. Если раньше мобильный интернет в диапазоне…"
16, Украинский стартап Let’s Enhance получил финансирование от компании Digital Future, 17.07.2018 в 15:14 , Обновлено: 17.07.2018 в 14:53 ,Вадим Карпусь,   13  ," Инвестиционная компания Digital Future профинансировала украинский стартап Let’s Enhance. Напомним, этот стартап занимается развитием сервиса на основе искусственного интеллекта, который позволяет…"
17," На трассе в Гудвуде доминировали электромобили: Volkswagen I.D. R побил абсолютный рекорд, а Nio EP9 — рекорд для серийных автомобилей [видео]", 17.07.2018 в 14:49 , Обновлено: 17.07.2018 в 14:49 ,Сергей Кулеш,   16  ," На прошлой неделе мы рассказали вам о том, как в рамках «Фестиваля скорости» на холм в Гудвуде поднимались автономные автомобили Roborace и Mustang, а сегодня покажем, как в этой гонке…"
18," Инсайдер опубликовал фото с лицевыми панелями всех трех новых смартфонов Apple iPhone. У младшей модели рамки будут шире, но ненамного", 17.07.2018 в 14:22 , Обновлено: 17.07.2018 в 14:22 ,Владимир Скрипин,   23  ," Известный инсайдер Бен Гескин (@VenyaGeskin1), на счету которого множество достоверных утечек по новинкам Apple и не только, выложил в Twitter фотографию, демонстрирующую лицевые панели новых смартфонов…"
19, Стороннее расширение добавляет поддержку функции Windows Timeline в браузеры Chrome и Firefox, 17.07.2018 в 14:05 , Обновлено: 17.07.2018 в 14:05 ,Вадим Карпусь,   18  ," Новая функция Timeline в операционной системе Windows 10 позволяет продолжить работу с того же места, где она была прекращена во время предыдущего сеанса, даже если пользователь теперь работает за…"
20, Обзор процессоров AMD Ryzen 7 2700X и Ryzen 7 2700, 17.07.2018 в 13:33 , Обновлено: 17.07.2018 в 16:44 ,Олег Касич,   120  ," Вышедшие в прошлом году процессоры AMD Ryzen с архитектурой Zen возобновили конкуренцию на рынке чипов для десктопных систем. Новые CPU оказались весьма хороши, привнеся интригу в сегменте, где,…"
21, Видеообзор TP-Link Archer C5400, 17.07.2018 в 13:25 , Обновлено: 17.07.2018 в 13:18 ,Максим Андрейчук,   1  ," TP-Link Archer C5400 — новый флагманский роутер TP-Link. По сравнию с прошлой моделью, Archer C3200, новинка сохранила привычный дизайн, но оснащается более производительной платформой, а также поддерживает…"
22, В ответ на критику мини-субмарины Илон Маск безосновательно обозвал спасателя детей в Таиланде. На фоне этого капитализация Tesla упала на $2 млрд, 17.07.2018 в 13:25 , Обновлено: 17.07.2018 в 14:30 ,Владимир Скрипин,   305  ," Основатель Tesla и SpaceX Илон Маск оказался в центре неприятной истории, которая уже успела соответствующим образом отразиться на репутации самого предпринимателя и на его бизнесе. Причиной…"
23, Samsung сообщила о старте продаж смартфонов Galaxy S9 и Galaxy S9+ в цветах Burgundy Red и Sunrise Gold, 17.07.2018 в 13:04 , Обновлено: 17.07.2018 в 13:04 ,Вадим Карпусь,   35  ," Представительство «Samsung Electronics Украина» сообщило о старте продаж смартфонов Galaxy S9 и Galaxy S9+ в цвете бургунди ред (Burgundy Red). Бургунди, один из оттенков красного, является одним из самых…"
