,title,date,time,author,counts,sometext,Date
0, Самые популярные материалы на ITC.UA в 2018 году, 31.12.2018/17:15 , Обновлено: 03.01.2019 в 11:06 ,Тарас Мищенко,   160  ," Под конец года мы традиционно рассказываем о результатах работы сайта в уходящем году и приводим некоторую занимательную статистику. Согласно Google Analytics в 2018 году ITC.UA посетило 19,9 млн…",05:15 PM 31/12/2018
1, Швейцарские инженеры тестируют робота ANYmal в условиях городской канализации, 31.12.2018/16:36 , Обновлено: 31.12.2018 в 15:38 ,Кирилл Иртлач,   3  ," Инспектирование городских канализационных систем — крайне утомительная и опасная работа: протяженность подземной инфраструктуры в большинстве городов исчисляется сотнями километров,…",04:36 PM 31/12/2018
2, В Австралии введены в эксплуатацию грузовые робопоезда, 31.12.2018/15:54 , Обновлено: 31.12.2018 в 15:36 ,Кирилл Иртлач,   42  ," Австралийская горнодобывающая компания Rio Tinto полностью роботизировала свои железнодорожные перевозки в отдельном регионе — Пилбаре, расположенном на северо-западе континента. Как…",03:54 PM 31/12/2018
3," Журналисты NYT выяснили, кому удалось заработать на падении биткоина", 31.12.2018/15:26 , Обновлено: 31.12.2018 в 15:26 ,Кирилл Иртлач,   15  ," «Зима биткоина» и его обесценивание на 80% заставили многих забыть криптовалюты как страшный сон. Впрочем, есть и те, кому на спаде рынка удалось заработать: как пишет NYT, на место…",03:26 PM 31/12/2018
4, Полиция Нью-Йорка будет охранять общественный порядок во время новогодних празднований при помощи дронов, 31.12.2018/12:08 , Обновлено: 31.12.2018 в 11:22 ,Кирилл Иртлач,   34  ," В Новый год полиция Нью-Йорка запустит беспилотники с камерами над главной площадью города Таймс-сквер. Также стражи порядка впервые опробуют новую «противодронную технологию», которая…",12:08 PM 31/12/2018
5, На Nvidia подали коллективный иск из-за заявлений касательно рынка видеокарт, 31.12.2018/11:19 , Обновлено: 31.12.2018 в 11:19 ,Кирилл Иртлач,   63  ," Американская юридическая фирма Schall Law, специализирующаяся на защите прав акционеров, объявила, что подает коллективный иск против Nvidia. Представители фирмы просят всех, кто приобрел ценные…",11:19 AM 31/12/2018
6, Выбор редакции 2018: Игры, 31.12.2018/09:00 , Обновлено: 07.01.2019 в 13:17 ,Олег Данилов,   245  ," Каждый раз при подведении итогов года мы ужасаемся количеству игр, изданных за отчетный период. Если в 2014 г. на Steam ежедневно выходило лишь 5 игр, то в 2017 г. на сервисе появлялось уже 20 игр в…",09:00 AM 31/12/2018
7, По итогам 2018 года разработчики Epic Games заработали $3 млрд, 30.12.2018/20:31 , Обновлено: 30.12.2018 в 18:32 ,Кирилл Иртлач,   86  ," Epic Games, разработчики Fortnite — самой популярной игры 2018 года, заработали в уходящем году $3 млрд. При этом стоимость самой компании в настоящее время оценивается в $15 млрд. Об этом пишет TechCrunch со…",08:31 PM 30/12/2018
8, New York Times: создатель CRISPR-детей находится под домашним арестом, 30.12.2018/18:59 , Обновлено: 30.12.2018 в 19:19 ,Кирилл Иртлач,   25  ," Журналисты газеты New York Times обнаружили китайского ученого Хэ Цзянькуя, который в ноябре заявил о рождении первых в мире CRISPR-детей, в университетской гостинице города Шэньчжэнь, где его…",06:59 PM 30/12/2018
9, Умная школьная форма не позволит китайским школьникам прогуливать уроки, 30.12.2018/18:27 , Обновлено: 30.12.2018 в 18:27 ,Кирилл Иртлач,   19  ," К тотальной слежке жителей Китая, по всей видимости, намерены приучать буквально со школьной скамьи: как сообщает китайской издание The Global Times, более десяти учебных заведений в провинции…",06:27 PM 30/12/2018
10, Тест-драйв обновленного Infiniti QX80: ТОП-5 вопросов и ответов, 30.12.2018/17:00 , Обновлено: 30.12.2018 в 17:00 ,Роман Мельниченко,   173  ," В прошлом я уже рассказывал про Infiniti QX80, но обновленная модель получила намного больше, чем просто изменения внешности: здесь улучшен салон, перенастроена подвеска, есть ряд изменений по…",05:00 PM 30/12/2018
11, Bird Box / «Птичий короб», 30.12.2018/09:00 , Обновлено: 27.12.2018 в 15:33 ,Олег Данилов,   155  , Еще по первым трейлерам постапокалиптический фильм ужасов Bird Box от Netflix выглядел как своеобразный ответ на вышедший в начале года хоррор A Quiet Place с Эмили Блант и Джоном Красински. Неуловимые…,09:00 AM 30/12/2018
12, Обзор игрового ноутбука HP Omen 15 2018, 29.12.2018/18:03 , Обновлено: 29.12.2018 в 22:34 ,Тарас Мищенко,   105  ," Последние несколько лет HP активно развивает линейку игровых устройств под брендом Omen, выпуская в ней в том числе и ноутбуки. Одна из новых моделей компании для геймеров — это HP Omen 15 2018.…",06:03 PM 29/12/2018
13, Great Wall выпустила недорогой городской электромобиль Ora R1, 29.12.2018/17:54 , Обновлено: 29.12.2018 в 22:02 ,Кирилл Иртлач,   100  ," Китайский автопроизводитель Great Wall представил четырехместный переднеприводный хэтчбек Ora R1, который позиционируется в качестве доступного электромобиля — его стоимость составляет…",05:54 PM 29/12/2018
14," Sony выпустила быстрое зарядное устройство: два порта (USB-C и USB-A) и мощность 46,5 Вт", 29.12.2018/17:18 , Обновлено: 29.12.2018 в 17:18 ,Владимир Скрипин,   28  ," Компания Sony выпустила сетевое зарядное устройство для мобильных устройств, которое характеризуется максимальной мощностью в 46,5 Вт и поддерживает стандарт Power Delivery (USB-PD). Новинка имеет…",05:18 PM 29/12/2018
15, Shimizu Corporation представила линейку строительных роботов, 29.12.2018/15:50 , Обновлено: 29.12.2018 в 15:50 ,Кирилл Иртлач,   20  ," Японская компания Shimizu Corporation представила ряд строительных роботов, призванных решить одну из важнейших проблем страны — нехватку рабочей силы. Первый из них — «Робот-Сварщик», который…",03:50 PM 29/12/2018
16, Крюковский вагонзавод вложит 200 млн грн в разработку нового пригородного электропоезда, 29.12.2018/13:13 , Обновлено: 29.12.2018 в 13:13 ,Владимир Скрипин,   109  , В 2019 году Крюковский вагоностроительный завод (КВСЗ) планирует инвестировать около 200 млн грн в разработку пригородного электропоезда. Об этом заявил председатель наблюдательного совета…,01:13 PM 29/12/2018
17, Акции Dell вернулись на биржу после нескольких лет пребывания компании в частном статусе, 29.12.2018/12:18 , Обновлено: 29.12.2018 в 11:19 ,Вадим Карпусь,   20  ," Компания Dell вернулась на публичный рынок ценных бумаг. Тем самым закончилась многолетняя эпопея с возвратом компании к частной форме собственности, которую инициировал основатель и…",12:18 PM 29/12/2018
18, Смартфон Samsung Galaxy A50 получит батарею ёмкостью 4000 мАч и 24-мегапиксельную основную камеру, 29.12.2018/11:39 , Обновлено: 29.12.2018 в 11:19 ,Вадим Карпусь,   67  ," Грядущее объединение линеек смартфонов Samsung постепенно обрастает подробностями. Очередная утечка поведала о характеристиках грядущей модели Galaxy A50. Согласно имеющейся информации, смартфон…",11:39 AM 29/12/2018
19," Выпуск смартфона Essential Phone от создателя Android прекращен, но компания уже готовит новое устройство", 29.12.2018/11:17 , Обновлено: 29.12.2018 в 11:17 ,Владимир Скрипин,   15  ," Смартфон Essential Phone (он же — Essential PH-1, вот наш обзор), созданный компанией «отца» операционной системы Android Энди Рубина и имевший, как казалось изначально, колоссальный потенциал, подошел к…",11:17 AM 29/12/2018
20, They Shall Not Grow Old / «Они не состарятся», 29.12.2018/09:00 , Обновлено: 26.12.2018 в 15:52 ,Олег Данилов,   103  , Питер Джексон неспроста доверил работу над масштабным фантастическим блокбастером Mortal Engines своему коллеге и ученику Кристиану Риверсу. У маэстро была более важная и более личная работа –…,09:00 AM 29/12/2018
21, Прогноз: по итогам 2018 года расходы Amazon на R&D превысят ВВП Исландии, 28.12.2018/20:27 , Обновлено: 28.12.2018 в 19:32 ,Кирилл Иртлач,   54  ," Amazon — неоспоримый лидер по R&D-расходам среди IT-компаний: по итогам 2017 года корпорация Джеффа Безоса вложила в исследовательский отдел в два раза больше денег, чем Microsoft. По оценке Bloomberg,…",08:27 PM 28/12/2018
22," Видео дня: танцующий робот-гексапод, созданный китайской компанией Robugtix", 28.12.2018/19:58 , Обновлено: 28.12.2018 в 19:32 ,Кирилл Иртлач,   46  ," Китайская компания Robugtix представила робопаука Z6, который умеет снимать видео, взбираться по лестницам и забавно «танцевать», но главное — он способен существенно «уменьшаться в…",07:58 PM 28/12/2018
23, Основатель Oracle и бывшая глава Kellogg стали новыми членами совета директоров Tesla, 28.12.2018/19:45 , Обновлено: 28.12.2018 в 19:32 ,Вадим Карпусь,   32  ," Компания Tesla заявила о расширении состава совета директоров. В него вошли основатель Oracle (и по совместительству миллиардер) Ларри Эллисон и Кэтлин Уилсон-Томпсон, ранее руководившая…",07:45 PM 28/12/2018
24," Стало известно, когда владельцам смартфонов Samsung Galaxy Note9, Note8, S8 и S8+ ждать обновления до Android 9.0 Pie", 28.12.2018/19:24 , Обновлено: 28.12.2018 в 19:24 ,Владимир Скрипин,   25  ," Как известно, Samsung уже начала распространять обновление Android Pie с оболочкой One UI для смартфонов Galaxy S9 и Galaxy S9+, причем южнокорейский производитель сумел выпустить финальную версию апдейта с…",07:24 PM 28/12/2018
25," В сериале Star Wars: The Mandalorian появится дроид-киллер IG-88, который выслеживал Хана Соло еще в пятой части саги «Империя наносит ответный удар»", 28.12.2018/18:46 , Обновлено: 28.12.2018 в 19:00 ,Сергей Кулеш,   12  ," На текущей неделе Джон Фавро, шоураннер будущего сериала The Mandalorian / «Мандалорец» по вселенной Star Wars, удивил фанатов очередной фотографией со съемок проекта. В отличие от выразительного…",06:46 PM 28/12/2018
26," Инсайд: Топовую версию электромобиля Porsche Taycan назовут «Taycan Turbo», ее стоимость составит от $130 тыс. и выше", 28.12.2018/18:15 , Обновлено: 28.12.2018 в 18:15 ,Сергей Кулеш,   21  ," Потенциальный покупатель электромобиля Porsche Taycan решил уточнить у автопроизводителя подробности о новинке, а тот ответил неожиданно подробно, указав не только названия версий, но и их…",06:15 PM 28/12/2018
27, NVIDIA проведёт презентацию новых продуктов накануне открытия CES 2019, 28.12.2018/18:08 , Обновлено: 28.12.2018 в 18:08 ,Вадим Карпусь,   11  , Компания NVIDIA сообщила о проведении собственного отдельного мероприятия накануне открытия выставки потребительской электроники CES 2019. Главный исполнительный директор компании Дженсен…,06:08 PM 28/12/2018
28, Основатели BioWare получили Орден Канады, 28.12.2018/17:53 , Обновлено: 02.01.2019 в 09:31 ,Кирилл Иртлач,   24  ," Основателям студии BioWare Рею Музике и Грегу Зещуку (на фото выше) вручили высшую гражданскую награду в Канаде — Орден Канады. Как сообщается, бывшие игроделы удостоились такой чести за…",05:53 PM 28/12/2018
29, Видеообзор QLED-телевизора Samsung QE65Q6FNAUXUA, 28.12.2018/17:43 , Обновлено: 28.12.2018 в 17:43 ,Сергей Светличный,   30  ," Хоть QE65Q6FNAUXUA и относится к младшей серии в линейке Samsung QLED 2018 года, сказать, что он в чем-то критично уступает старшим «собратьям», нельзя – телевизор эффектно выглядит, может похвастать…",05:43 PM 28/12/2018
30, «Пауэрбанк для электромобиля»: Volkswagen представил мобильные скоростные зарядки для электромобилей с внутренней батареей на 360 кВтч, 28.12.2018/17:33 , Обновлено: 28.12.2018 в 17:33 ,Сергей Кулеш,   23  ," Немецкий автопроизводитель Volkswagen анонсировал мобильные зарядные станции, которые по сути представляют собой «пауэрбанк для электромобилей». Благодаря небольшим габаритам и…",05:33 PM 28/12/2018
31, Производительность SoC MediaTek Helio P90 примерно соответствует Qualcomm Snapdragon 710, 28.12.2018/17:11 , Обновлено: 28.12.2018 в 17:11 ,Владимир Скрипин,   67  ," Две недели назад, компания MediaTek, представляя свою новую SoC Helio P90 для смартфонов среднего уровня, заявляла, что она наделит смартфоны среднего ценового диапазона флагманской…",05:11 PM 28/12/2018
32, Steam огласил рейтинг самых продаваемых и популярных игр в 2018 году, 28.12.2018/16:53 , Обновлено: 28.12.2018 в 17:00 ,Сергей Кулеш,   61  ," Сервис Steam опубликовал свой традиционный рейтинг самых продаваемых и популярных игр за 2018 год, в который вошли пять категорий: «Самые продаваемые», «Лучшие новинки», «Лидеры продаж…",04:53 PM 28/12/2018
33, Xiaomi выпустила новую умную стиральную машину с загрузкой до 10 кг белья, 28.12.2018/16:30 , Обновлено: 28.12.2018 в 16:30 ,Вадим Карпусь,   87  ," Компания Xiaomi продолжает расширять перечень предлагаемых продуктов, и на этот раз она подготовила к выпуску новую стиральную машину. Конечно же, умную. Новая версия стиральной машины Mijia…",04:30 PM 28/12/2018
34, Bloomberg: гиганты Уолл-Стрит разочаровались в криптовалютах, 28.12.2018/15:53 , Обновлено: 28.12.2018 в 15:47 ,Кирилл Иртлач,   50  ," Компании Уолл-Стрит, ранее проявлявшие активный интерес к «новой форме денег», охладели к криптовалютам и теперь сворачивают планы по выходу на криптовалютный рынок, сообщает агентство…",03:53 PM 28/12/2018
35, В новогоднюю ночь зонд New Horizons подойдёт на минимальную дистанцию к астероиду Ультима Туле и приступит к его детальному изучению, 28.12.2018/15:15 , Обновлено: 28.12.2018 в 14:33 ,Вадим Карпусь,   8  ," Пока люди на Земле будут праздновать наступление Нового года, космический аппарат NASA New Horizons приступит к изучению одного из наиболее отдалённых объектов Солнечной системы. В соответствии с…",03:15 PM 28/12/2018
36, PewDiePie опубликовал собственный YouTube Rewind 2018, 28.12.2018/14:41 , Обновлено: 28.12.2018 в 14:32 ,Кирилл Иртлач,   50  ," Шведский видеоблогер Феликс Чельберг, более известный как PewDiePie, представил собственный YouTube Rewind 2018 — клип с подведением главных мемов за год. Менее чем за день видео набрало больше лайков,…",02:41 PM 28/12/2018
37, Sony Xperia XA3 Ultra: появились данные о цветах и цене грядущего огромного смартфона японской компании, 28.12.2018/14:10 , Обновлено: 28.12.2018 в 14:10 ,Владимир Скрипин,   35  ," Если говорить о готовящихся к выходу смартфонах Sony, то, пожалуй, наибольший интерес вызывает флагман Sony Xperia XZ4, который должен получить дисплей с соотношением сторон 21:9, а также компактная…",02:10 PM 28/12/2018
38," Vodafone Украина бесплатно доставит домой всем желающим USIM с поддержкой 4G для замены старых SIM, акция продлится до 18 февраля 2019 года", 28.12.2018/13:24 , Обновлено: 28.12.2018 в 13:29 ,Сергей Кулеш,   38  ," Украинские операторы мобильной связи продолжают мотивировать своих абонентов активнее переходить на SIM-карты с поддержкой 4G. Так, в начале декабря «Киевстар» подарил безлимитный 4G на…",01:24 PM 28/12/2018
39, С 15 января по 15 февраля 2019 года «Киевстар» закроет ряд устаревших тарифов и переведет их абонентов на новые, 28.12.2018/12:57 , Обновлено: 28.12.2018 в 12:57 ,Сергей Кулеш,   466  ," На официальном сайте оператора мобильной связи «Киевстар» появилось объявление об изменении условий некоторых устаревших тарифных планов. В частности, в период с 15 января по 15 февраля…",12:57 PM 28/12/2018
40," Решение Pet Detector оповестит вас о том, что ваш кот просится домой", 28.12.2018/12:46 , Обновлено: 28.12.2018 в 12:46 ,Кирилл Иртлач,   31  ," Что делать, если ваш кот не выражает свое желание зайти в дом громким мяуканьем и часами ждет под дверью, пока вы его не заметите? Для решения этой проблемы энтузиаст EdgeElectronics создал Pet Detector —…",12:46 PM 28/12/2018
41," Смартфон Xiaomi Pocophone F2 появился в Geekbench, но подлинность результатов теста пока под большим сомнением", 28.12.2018/12:01 , Обновлено: 28.12.2018 в 13:20 ,Владимир Скрипин,   32  ," Буквально на днях Xiaomi добавила версии смартфона Pocophone F1 с кевларовой задней панелью Armoured Edition более доступный вариант с 6 ГБ ОЗУ и 128 ГБ флэш-памяти за $340. Но, если верить слухам, уже не за горами…",12:01 PM 28/12/2018
42, «Китайский Airbnb» оснастит арендные квартиры системами распознавания лиц, 28.12.2018/11:17 , Обновлено: 28.12.2018 в 11:14 ,Кирилл Иртлач,   13  ," Компания Xiaozhu, представляющая собой «китайский ответ» Airbnb, оснастит 80% жилья, которое сдается в аренду посредством ее одноименного сервиса в городе Чэнду, умными замками, оснащенными…",11:17 AM 28/12/2018
43, Выбор редакции 2018: Смартфоны, 28.12.2018/11:10 , Обновлено: 09.01.2019 в 18:34 ,Игорь Сушон,   649  ," У многих людей есть то ли традиция, то ли ритуал — подводить итоги года. Наша редакция не является исключением и в разных категориях мы подводим свои итоги, вспоминая лучшие устройства,…",11:10 AM 28/12/2018
44," WSJ: Alphabet сделает дроны Wing тихими, поскольку те своим рёвом пугают людей и животных", 28.12.2018/10:59 , Обновлено: 28.12.2018 в 10:36 ,Игорь Мозуль,   17  ," Прежде чем беспилотники Wing, разрабатываемые Alphabet, начнут массово использовать для доставки товаров по всему миру, их нужно довести до совершенства. Компания уже несколько лет проводит их…",10:59 AM 28/12/2018
